# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 212.76539999999997 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-2 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[7,15]	1.005 	2.946E-4 	-	0.755	1.000	1.000	239	0	7	15
R0[7,16]	1.283 	2.967E-4 	-	0.625	1.000	1.000	240	0	7	16
R0[7,17]	1.014 	3.474E-4 	-	0.725	1.000	1.000	241	0	7	17
R0[7,18]	1.012 	3.690E-4 	-	0.732	1.000	1.000	242	0	7	18
R0[7,19]	1.016 	3.732E-4 	-	0.716	1.000	1.000	243	0	7	19
R0[7,21]	1.108 	3.673E-4 	-	0.701	1.000	1.000	245	0	7	21
R0[7,22]	1.109 	3.635E-4 	-	0.673	1.000	1.000	246	0	7	22
R0[7,23]	0.983 	3.320E-4 	-	0.689	1.000	1.000	247	0	7	23
R0[7,24]	-0.001 	3.957E-3 	gn	11.400	1.000	1.000	248	0	7	24
R0[7,25]	1.082 	3.508E-4 	-	0.701	1.000	1.000	249	0	7	25
R0[7,26]	1.110 	3.601E-4 	-	0.693	1.000	1.000	250	0	7	26
R0[8,0]	-0.000 	7.152E-3 	gn	142.237	1.000	1.000	256	0	8	0
R0[8,1]	0.628 	6.334E-4 	-	1.040	1.000	1.000	257	0	8	1
R0[8,2]	0.276 	2.153E-3 	g	1.123	1.000	1.000	258	0	8	2
R0[8,3]	0.730 	4.763E-4 	-	0.955	1.000	1.000	259	0	8	3
R0[8,4]	0.860 	4.829E-4 	-	0.902	1.000	1.000	260	0	8	4
R0[8,5]	0.070 	4.167E-3 	gn	0.911	1.000	1.000	261	0	8	5
R0[8,7]	0.001 	6.206E-3 	gn	-11.593	1.000	1.000	263	0	8	7
R0[8,8]	0.953 	4.058E-4 	-	0.889	1.000	1.000	264	0	8	8
R0[8,9]	0.983 	3.725E-4 	-	0.859	1.000	1.000	265	0	8	9
R0[8,10]	1.088 	3.576E-4 	-	0.799	1.000	1.000	266	0	8	10
R0[8,11]	1.059 	3.488E-4 	-	0.809	1.000	1.000	267	0	8	11
R0[8,12]	1.033 	3.424E-4 	-	0.804	1.000	1.000	268	0	8	12
R0[8,13]	1.028 	3.753E-4 	-	0.779	1.000	1.000	269	0	8	13
R0[8,14]	1.012 	4.087E-4 	-	0.767	1.000	1.000	270	0	8	14
R0[8,15]	1.045 	3.692E-4 	-	0.742	1.000	1.000	271	0	8	15
R0[8,16]	1.042 	3.265E-4 	-	0.735	1.000	1.000	272	0	8	16
